description,manufacturer,correct_code,correct_desc,form,amount,dosage
"ИНГАВИРИН 0,09 N7 КАПС","Валента Фарм, ПАО",15424,ингавирин,капс,7,90мг
"АКТОВЕГИН 0,04/МЛ 5МЛ N5 АМП Р-Р Д/ИН","Такеда Фармасьютикалс, ООО",45371,актовегин,раствор для инъекций амп,5,40мг/мл 5мл
ТАУФОН 4% 10МЛ ГЛ КАПЛИ ФЛАК/КАП ИНД/УП,"Московский эндокринный завод ,ФГУП",17677,тауфон,фл/кап,1,4% 10мл
"КОНКОР 0,005 N50 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Мерк КГаА/ Нанолек ООО,47775,конкор,табл п/плен/оболоч,50,5мг
"ГЕПТРАЛ 0,4 N20 ТАБЛ П/КИШЕЧНОРАСТВОР/ОБОЛОЧ",ЭббВи С.р.Л.,42084,гептрал,табл п/плен/оболоч кишечнораствор,20,400мг
ЭССЛИВЕР ФОРТЕ N50 КАПС,"Наброс Фарма Пвт Лтд/упаковано ""Нижфарм"" АО",45172,эссливер форте,капс,50,
"АКТОВЕГИН 0,2 N50 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Такеда Фармасьютикалс, ООО",7887,актовегин,табл п/плен/оболоч,50,200мг
"КАРДИОМАГНИЛ 0,075+0,0152 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Такеда Фармасьютикалс, ООО",41670,кардиомагнил,табл п/плен/оболоч,100,"75мг 15,2мг"
МАКСИЛАК N10 КАПС,Genexo Sp.z.o.o.,47718,максилак 5,капс пак,10,
"ЦЕРАКСОН 0,1/МЛ 10МЛ N10 ПАК Р-Р Д/ПРИЕМА ВНУТРЬ",Феррер Интернасьональ С.А.,40852,цераксон,д/вн/пр раствор пак,10,100мг/мл 10мл
"ЛИРИКА 0,3 N56 КАПС",Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ,20075,лирика,капс,56,300мг
"ДИПРОСПАН 0,002+0,005/МЛ 1МЛ N1 АМП СУСП Д/ИН",Шеринг-Плау Лабо Н.В.,4006,дипроспан,для инъекций амп сусп,1,2мг 5мг/мл 1мл
"АКТОВЕГИН 0,04/МЛ 10МЛ N5 АМП Р-Р Д/ИН","Такеда Фармасьютикалс, ООО",45497,актовегин,раствор для инъекций амп,5,40мг/мл 10мл
ПЕНТАЛГИН N24 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Фармстандарт-Лексредства ОАО,19607,пенталгин без кодеина,табл п/плен/оболоч,24,
"ВИЗИН КЛАССИЧЕСКИЙ 0,05% 15МЛ ГЛ КАПЛИ",Янссен Фармацевтика Н.В.,19130,визин классический,фл/кап глаз капли,1,0.5мг/мл 15мл
"КОНКОР КОР 0,0025 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Мерк КГаА/ Нанолек ООО,47687,конкор кор,табл п/плен/оболоч,30,2.5мг
"ТРИМЕДАТ 0,2 N30 ТАБЛ",Дэ Хан Нью Фарм Ко.Лтд/Валента Фарм ПАО,15239,тримедат,табл,30,200мг
ГРАММИДИН НЕО С АНЕСТЕТИКОМ N18 ТАБЛ Д/РАССАС,"Валента Фарм, ПАО",18130,граммидин с анестетиком нео,табл д/рассас,18,
"ФИЗИОТЕНЗ 0,0004 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Роттендорф Фарма ГмбХ/ Майлан Лэбораториз САС,45086,физиотенз,табл п/плен/оболоч,28,0.4мг
"ДЮФАСТОН 0,01 N20 ТАБЛ П/О",Эбботт Биолоджикалз Б.В./Верофарм АО,41901,дюфастон,табл п/плен/оболоч,20,10мг
"НОЛИПРЕЛ А ФОРТЕ 0,00125+0,005 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",СЕРВЬЕ РУС ООО,48259,нолипрел а форте,табл п/плен/оболоч флакон,30,"1,25мг 5мг"
"ТИЗИН КЛАССИК 0,1% 10МЛ ФЛАК СПРЕЙ НАЗАЛ ДОЗ",Фамар Орлеан,45932,тизин классик,флакон назал дозир спрей,1,"0,1% 10мл"
"ФИЗИОТЕНЗ 0,0002 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Роттендорф Фарма ГмбХ/ Майлан Лэбораториз САС,45085,физиотенз,табл п/плен/оболоч,28,0.2мг
ФЕМОСТОН 2 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Эбботт Биолоджикалз Б.В.,43837,фемостон 2,табл п/плен/оболоч,28,
"РИНОНОРМ-ТЕВА 0,1% 20МЛ СПРЕЙ НАЗАЛ ДОЗ",Меркле ГмбХ,46876,ринонорм-тева,флакон назал дозир спрей,1,0.1% 20мл
МИКРОЛАКС 5МЛ N12 МИКРОКЛИЗМА,Фамар Орлеан,40968,микролакс микроклизмы,раствор рект,12,5мл
МИКРОЛАКС 5МЛ N4 МИКРОКЛИЗМА,Фамар Орлеан,9981,микролакс микроклизмы,раствор рект,4,5мл
КИПФЕРОН N10 СУПП,"Алфарм, ООО",4359,кипферон,рект ваг супп,10,200мг 500000ме
"НИМЕСИЛ 0,1 N30 ПАК 2,0 ГРАНУЛЫ Д/ПРИГОТ СУСП Д/ПРИЕМА ВНУТРЬ",Файн Фудс & Фармасьютикалз Н.Т.М. С.П.А.,332,нимесил гран,д/приг сусп пак,30,100мг 2г
МАГНЕЛИС В6 N90 ТАБЛ П/О/БАНКА/,"Фармстандарт-Уфимский витаминный завод,ОАО",15344,магнелис b6,табл п/плен/оболоч банка,90,
"МЕТРОГИЛ ДЕНТА 20,0 ГЕЛЬ Д/ДЕСЕН",Юник Фармасьютикал Лабораториз(Отделение фирмы Дж.,3845,метрогил дента стомат,гель туба,1,20г
КРЕОН 10000 10000ЕД N20 КАПС КИШЕЧНОРАСТВОР,Эбботт Лэбораториз ГмбХ,42559,креон 10 000,кишечнораствор капс флакон,20,10000ед
"ПРЕДУКТАЛ ОД 0,08 N30 КАПС С ПРОЛОНГ ВЫСВОБОЖД",Фармстандарт-Лексредства ОАО,44213,предуктал од высв,капс,30,80мг
ГРАММИДИН НЕО N18 ТАБЛ Д/РАССАС,"Валента Фарм, ПАО",17515,граммидин нео,табл д/рассас,18,
"АМИКСИН 0,125 N10 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Фармстандарт-Лексредства ОАО,43287,амиксин,табл п/плен/оболоч,10,125мг
ФЕМОСТОН 1 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Эбботт Биолоджикалз Б.В.,43836,фемостон 1,табл п/плен/оболоч,28,
"ГЕПТРАЛ 0,4 N5 ФЛАК ЛИОФИЛ Д/Р-РА В/В В/М",Фамар ЛЭйль,1540,гептрал лиоф,флакон раствор амп в/м в/в,5,400мг 760мг 5мл
"ЦЕРАКСОН 1,0/4МЛ N5 АМП Р-Р В/В В/М",Феррер Интернасьональ С.А.,15162,цераксон,раствор амп в/м в/в,5,1000мг 4мл 4мл
"НУРОФЕН ЭКСПРЕСС ФОРТЕ  0,4 N20 КАПС",Патеон Софтджелс Б.В./ Рекитт Бенкизер Хелскэр Интернешнл Лтд.,42104,нурофен экспресс форте,капс,20,400мг
"ДЕТРАЛЕКС 1,0 N60 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Сердикс, ООО",45652,детралекс,табл п/плен/оболоч,60,1000мг
"ЦИПРАЛЕКС 0,01 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Х.Лундбек А/О,7335,ципралекс,табл п/плен/оболоч,28,10мг
"НУРОФЕН ЭКСПРЕСС ФОРТЕ  0,4 N10 КАПС",Патеон Софтджелс Б.В./ Рекитт Бенкизер Хелскэр Интернешнл Лтд.,45526,нурофен экспресс форте,капс,10,400мг
"ТАМИФЛЮ 0,075 N10 КАПС","Ф.Хоффманн-Ля Рош Лтд/Фармстандарт-Лексредства,ОАО",9529,тамифлю,капс,10,75мг
"КСЕФОКАМ 0,008 N5 ФЛАК ЛИОФИЛ Д/Р-РА В/В В/М",Вассербургер Арцнеймиттельверк ГмбХ / Такеда Австрия ГмбХ,2388,ксефокам лиоф,д/приг раствора флакон в/м в/в,5,8мг
"ПРЕСТАРИУМ А 0,005 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ","Сердикс, ООО",48629,престариум а,табл п/плен/оболоч,30,5мг
ЭРГОФЕРОН N20 ТАБЛ Д/РАССАС,Материа Медика Холдинг НПФ ООО,19767,эргоферон,табл д/рассас,20,
"ЭДАРБИ КЛО 0,04+0,0125 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Такеда Фармасьютикал Компани Лимитед/Такеда Айлэнд,41616,эдарби кло,табл п/плен/оболоч,28,"40мг 12,5мг"
"КОНКОР 0,01 N50 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Мерк КГаА/ Нанолек ООО,47690,конкор,табл п/плен/оболоч,50,10мг
"СНУП 0,1% 15МЛ СПРЕЙ НАЗАЛ",Хемофарм д.о.о./Хемофарм А.Д.,46701,снуп,флакон назал спрей,1,0.1% 15мл
"НУРОФЕН 0,1/5МЛ 200МЛ СУСП Д/ПРИЕМА ВНУТРЬ /АПЕЛЬСИН/",Рекитт Бенкизер Хелскэр Индия Прайвит Лимитед,42697,нурофен /апельсин/ 200,д/дет сусп,1,
"ОТИПАКС 16,0 КАПЛИ УШНЫЕ /АКЦИЯ  7+1/",Биокодекс,46374,отипакс 8,фл/кап пак капли ушн,1,16г
КРЕОН 10000 10000ЕД N50 КАПС КИШЕЧНОРАСТВОР,Эбботт Лэбораториз ГмбХ,47925,креон 10 000,кишечнораствор капс флакон,50,10000ед
"ДЮФАСТОН 0,01 N28 ТАБЛ П/О",Эбботт Биолоджикалз Б.В.,45684,дюфастон,табл п/плен/оболоч,28,10мг
ФЕМОСТОН КОНТИ 5/1 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ,Эбботт Биолоджикалз Б.В.,6980,фемостон 1/5 конти,табл п/плен/оболоч,28,
"КСАРЕЛТО 0,02 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Байер АГ,39638,ксарелто,табл п/плен/оболоч,28,20мг
ИМУДОН N40 ТАБЛ Д/РАССАС,"Фармстандарт-Томскхимфарм,ОАО",14314,имудон,табл д/рассас,40,
СТРЕПСИЛС МЕДОВО-ЛИМОННЫЙ N24 ТАБЛ,Рекитт Бенкизер Хелскэр Интернешнл Лтд,445,стрепсилс-лимон/,табл д/рассас,24,/ме
"ПАРИЕТ 0,02 N28 ТАБЛ П/КИШЕЧНОРАСТВОР/ОБОЛОЧ",Бушу Фармасьютикалз Лтд. Мисато фэктори/ Силаг АГ,45609,париет,табл п/плен/оболоч кишечнораствор,28,20мг
ФОСФОГЛИВ N50 КАПС,Фармстандарт-Лексредства ОАО,13156,фосфоглив,капс,50,
"КСАРЕЛТО 0,02 N100 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Байер АГ,41710,ксарелто,табл п/плен/оболоч,100,20мг
"ТРОКСЕВАЗИН 2% 40,0 ГЕЛЬ",Балканфарма - Троян АД,197,троксевазин,д/наруж д/мест гель,1,2% 40г
"ВИГАНТОЛ 0,5МГ/МЛ 10МЛ ФЛАК/КАП Р-Р Д/ВН",Мерк КГаА,603,вигантол,д/вн/пр масл флакон раствор,1,0.5мг/мл 10мл
"ДЕТРАЛЕКС 1,0 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ",СЕРВЬЕ РУС ООО,45611,детралекс,табл п/плен/оболоч,30,1000мг
"АФОБАЗОЛ 0,01 N60 ТАБЛ",Фармстандарт-Лексредства ОАО,14147,афобазол,табл,60,10мг
ИНГАЛИПТ 30МЛ АЭРОЗОЛЬ,Фармстандарт-Лексредства ОАО,2851,ингалипт баллон,аэроз,1,30мл
"ЭССЕНЦИАЛЕ ФОРТЕ Н 0,3 N90 КАПС",А.Наттерманн энд Сие ГмбХ,44187,эссенциале н форте,капс,90,300мг
"АРБИДОЛ 0,1 N40 КАПС",Фармстандарт-Лексредства ОАО,17709,арбидол конт,капс инд/уп,40,100мг
"ЭНЦЕФАБОЛ 0,0805/5МЛ 200МЛ ФЛАК СУСП",Мерк КгаА и Ко Верк Шпитталь,2415,энцефабол,д/вн/пр д/мест флакон сусп,1,"80,5/5мл 200мл"
"ФЕНИБУТ 0,25 N20 ТАБЛ /ОЛАЙНФАРМ/",Олайнфарм АО,719,фенибут,табл,20,250мг
ЭССЛИВЕР ФОРТЕ N30 КАПС,"Наброс Фарма Пвт Лтд/упаковано ""Нижфарм"" АО",46131,эссливер форте срок до 032018,капс,30,
"КРЕСТОР 0,01 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",АйПиЭр Фармасьютикалс Инк/ АстраЗенека Индастриз ООО,46190,крестор,табл п/плен/оболоч,28,10мг
"ГЕПТРАЛ 0,5 N20 ТАБЛ П/КИШЕЧНОРАСТВОР/ОБОЛОЧ",ЭббВи С.р.Л.,46278,гептрал,табл п/плен/оболоч кишечнораствор,20,500мг
"КРЕСТОР 0,01 N98 ТАБЛ П/ПЛЕН/ОБОЛОЧ",АйПиЭр Фармасьютикалс Инк/ АстраЗенека Индастриз ООО,46053,крестор,табл п/плен/оболоч,98,10мг
"АМИКСИН 0,125 N6 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Фармстандарт-Лексредства ОАО,29709,амиксин,табл п/плен/оболоч,6,125мг
"СУМАМЕД 0,5 N3 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Плива Хрватска д.о.о.,46844,сумамед,табл п/плен/оболоч,3,500мг
"НУРОФЕН ЭКСПРЕСС 0,2 N8 КАПС",Патеон Софтджелс Б.В./ Рекитт Бенкизер Хелскэр Интернешнл Лтд.,21321,нурофен экспресс,капс,8,200мг
"ДЮСПАТАЛИН 0,2 N30 КАПС ПРОЛОНГ","Верофарм,АО",47357,дюспаталин,капс,30,200мг
"ЛАВОМАКС 0,125 N6 ТАБЛ П/О",Нижфарм АО,9426,лавомакс,табл п/плен/оболоч,6,125мг
"КСАРЕЛТО 0,015 N28 ТАБЛ П/ПЛЕН/ОБОЛОЧ",Байер АГ,41482,ксарелто,табл п/плен/оболоч,28,15мг
"ЦЕРАКСОН 0,5/4МЛ N5 АМП Р-Р В/В В/М",Феррер Интернасьональ С.А.,14620,цераксон,раствор амп в/м в/в,5,500мг 4мл 4мл
"ГЕКСОРАЛ 0,2% 40,0 АЭРОЗОЛЬ",Фамар Орлеан,48490,гексорал бал 15,аэроз пак,1,0.2% 40мл
